experiment_id,run_id,method,model,ratio_name,ratio_value,seed_name,split,num_samples,accuracy,macro_f1,macro_precision,macro_recall
exp03_mert_full_ft,run_exp03_mert_full_ft_train25_seed1,MERT full fine-tuning,mert_v1_95m,train25,0.25,seed1,val,185,0.9567567567567568,0.9444191622260333,0.95011150176143,0.9402579365079364
exp03_mert_full_ft,run_exp03_mert_full_ft_train25_seed1,MERT full fine-tuning,mert_v1_95m,train25,0.25,seed1,test,242,0.9793388429752066,0.9782469431153641,0.9776800322182787,0.9799919967987195
exp03_mert_full_ft,run_exp03_mert_full_ft_train25_seed1,MERT full fine-tuning,mert_v1_95m,train25,0.25,seed1,external_test,610,0.3377049180327869,0.32611870095245343,0.6386874602953253,0.44777249616289594
exp03_mert_full_ft,run_exp03_mert_full_ft_train25_seed2,MERT full fine-tuning,mert_v1_95m,train25,0.25,seed2,val,230,0.9347826086956522,0.9459975597934182,0.9487565256710652,0.9514120799835086
exp03_mert_full_ft,run_exp03_mert_full_ft_train25_seed2,MERT full fine-tuning,mert_v1_95m,train25,0.25,seed2,test,233,0.9184549356223176,0.8885521885521886,0.9326388888888889,0.871604324135104
exp03_mert_full_ft,run_exp03_mert_full_ft_train25_seed2,MERT full fine-tuning,mert_v1_95m,train25,0.25,seed2,external_test,610,0.4163934426229508,0.35267903205076817,0.3426802869085576,0.42886289586447424
exp03_mert_full_ft,run_exp03_mert_full_ft_train50_seed0,MERT full fine-tuning,mert_v1_95m,train50,0.5,seed0,val,221,1.0,1.0,1.0,1.0
exp03_mert_full_ft,run_exp03_mert_full_ft_train50_seed0,MERT full fine-tuning,mert_v1_95m,train50,0.5,seed0,test,204,0.9754901960784313,0.9802592836739178,0.97890559732665,0.9825498575498576
exp03_mert_full_ft,run_exp03_mert_full_ft_train50_seed0,MERT full fine-tuning,mert_v1_95m,train50,0.5,seed0,external_test,610,0.29180327868852457,0.27366358358457643,0.44197726444940816,0.38820457225958416
exp03_mert_full_ft,run_exp03_mert_full_ft_train50_seed1,MERT full fine-tuning,mert_v1_95m,train50,0.5,seed1,val,185,0.9135135135135135,0.8874371237944422,0.9341323269413846,0.861307319223986
